"#anims"
"Animation def     idx  x   y   w   h   x+  y+  jmp ", 000, 00, 00, 00, 00, 00, 00
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
"EMPTY          ", 000, 00, 00, 00, 00, 00, 00, 0
"Duck body idle ", 001, 00, 06, 10, 06, -4, -6, 0
"Duck body walk1", 002, 10, 06, 10, 06, -4, -6, 1
"Duck body walk2", 003, 20, 06, 10, 06, -4, -6, 1
"Duck body walk3", 004, 00, 06, 10, 06, -4, -6, -2
"Duck body fly 1", 005, 30, 06, 10, 06, -4, -6, 1
"Duck body fly 2", 006, 00, 12, 10, 07, -4, -7, 1
"Duck body fly 3", 007, 10, 12, 10, 06, -4, -6, -2
"Duck body shoot", 008, 20, 12, 10, 06, -4, -6, 0
"Duck head norm ", 011, 00, 00, 14, 06, -6,-12, 0
"Duck head shoot", 012, 14, 00, 14, 06, -6,-12, 0
"Duck bullet 1  ", 013, 32, 00, 08, 05, -4, -2, 0
"Duck bullet 2  ", 014, 74, 00, 06, 06, -2, -3, 0
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
" eggy idle     ", 015, 10, 18, 10, 09, -4, -9, 0
" eggy jump     ", 016, 00, 19, 10, 10, -4,-10, 0
" eggy drop     ", 017, 20, 19, 10, 07, -4, -7, 0
" platform      ", 018, 12, 50, 16, 05, -8, 00, 0
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
" chest         ", 020, 68, 33, 12, 09, -6, -9, 0
" key           ", 021, 68, 26, 12, 07, -6, -7, 0
" small gem     ", 022, 44, 29, 08, 08, -4, -8, 0
" big gem       ", 023, 52, 29, 10, 08, -4, -8, 0
" orb           ", 024, 36, 29, 08, 08, -4, -8, 0
" Heart	        ", 025, 38, 45, 08, 06, -4, -6, 0
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
" twinkle 3     ", 030, 12, 27, 06, 05, -2, -3, 1
" twinkle 2     ", 031, 18, 27, 06, 05, -2, -3, 1
" twinkle 1     ", 032, 24, 28, 04, 03, -2, -2, 1
" twinkle 2     ", 033, 18, 27, 06, 05, -2, -3, -3
" explode 1     ", 034, 30, 45, 08, 08, -4, -4, 1
" explode 2     ", 035, 30, 37, 08, 08, -4, -4, 1
" explode 3     ", 036, 30, 31, 06, 06, -2, -2, -2
" clear tile    ", 038, 12, 33, 08, 08, 00, 00, 0
" mover tile    ", 039, 20, 33, 08, 08, 00, 00, 0
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
" enemy bullet  ", 040, 30, 21, 04, 04, -2, -2, 1
" enemy bullet 2", 041, 34, 21, 04, 04, -2, -2, -1
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
" spike ball    ", 045, 00, 29, 12, 12, -6, -6, 0
" chain link    ", 046, 30, 25,  4,  4, -2, -2, 0
" Fire breath   ", 047, 32, 12, 08, 03, -4, -1, 0
" Fire bre opn 1", 048, 32, 12, 08, 03, -4, 00, 1
" Fire bre opn 2", 049, 32, 12, 08, 03, -4, 00, 0
" Fireball 1    ", 050, 38, 37, 08, 08, -4, -8, 1
" Fireball 2    ", 051, 46, 37, 08, 08, -4, -8, 1
" Fireball 3    ", 052, 54, 37, 08, 08, -4, -8,-2
" star 1        ", 053, 00, 41, 12, 12, -6, -6, 1
" star 2        ", 054, 00, 41, 12, 12, -6, -6, 1
" star 3        ", 055, 12, 41, 10, 09, -4, -4, 1
" star 4        ", 056, 22, 41, 08, 08, -4, -4, 0
" tile debris1  ", 057, 66, 43, 14, 09, -6, 00, 1
" tile debris2  ", 058, 66, 43, 14, 09, -6, 00, 1
" tile debris3  ", 059, 66, 47, 14, 09, -6, 00, 0
" EOL star      ", 060, 00, 41, 12, 12, -6,-12, 0
"---------------------------------------------------", 000, 00, 00, 00, 00, 00, 00
" skull 1        ", 070, 00, 56, 10, 08, -4, -4, 1
" skull 2        ", 071, 10, 56, 10, 09, -4, -4, -1
" helmet 1       ", 072, 00, 64, 10, 11, -4,-11, 1
" helmet 2       ", 073, 10, 65, 10, 11, -4,-11, 1
" helmet 3       ", 074, 00, 75, 10, 11, -4,-11, -2
" helmet loose   ", 075, 00, 64, 10, 09, -4, -9, 0
" spiky 1        ", 076, 00, 86, 10, 10, -4, -5, 1
" spiky 2        ", 077, 10, 88, 10, 08, -4, -4, -1
" drooly 1       ", 078, 20, 56, 12, 12, -6, -9, 1
" drooly 4       ", 079, 22, 78, 12, 09, -6, -7, 1
" drooly 2       ", 080, 22, 68, 12, 10, -6, -8, 1
" drooly 3       ", 081, 20, 56, 12, 12, -6, -9, -3
" drip 1         ", 082, 36, 68, 04, 04, -2, -2, 1
" drip 2         ", 083, 36, 72, 04, 05, -2, -2, 1
" drip 3         ", 084, 20, 89, 06, 07, -2, -2, 0
" babat sleep    ", 085, 58, 87, 08, 09, -4, 00, 0
" babat 1        ", 086, 64, 56, 16, 07, -8, -4, 1
" babat 2        ", 087, 26, 89, 16, 07, -8, -5, 1
" babat 2        ", 088, 42, 90, 16, 06, -8, -6, -2
" dragon 1       ", 089, 66, 63, 14, 11, -6, -5, 1
" dragon 2       ", 090, 66, 74, 14, 11, -6, -5, 1
" dragon 3       ", 091, 66, 85, 14, 11, -6, -5, -2
"#end"
